'Weird Al' Yankovic
A. Karim Karmi
A. Kodandarami Reddy
A. Sarkunam
A.J. Carter
A.R. Murugadoss
Aamir Khan
Aaron Fronk
Aaron Gum
Aaron King
Aaron Lubarsky
Aaron Ruell
Aaron Yeger
Aaron Yonda
Aaron Zelman
Abbas Fahdel
Abbas Kiarostami
Abbe Robinson
Abdulla Al Kaabi
Abdullah Al-Eyaf
Abe Forsythe
Abhijit Panse
Abhishek Jain
Abrid Shine
Adam Anthony
Adam Bernstein
Adam Blake Carver
Adam Butcher
Adam Curtis
Adam Davidson
Adam Dubin
Adam Elliot
Adam Ethan Crow
Adam Hall
Adam McKay
Adam Montierth
Adam Schlachter
Adam Small
Adam Watson
Addyson Medley
Ademir Kenovic
Adi Barash
Adisorn Trisirikasem
Aditya Bhattacharya
Aditya Sarpotdar
Adolfo Doring
Adrian Belic
Adrian Pasdar
Adrian Pennick
Adrian Shergold
Adriana Yurcovich
Aelrun Goette
Aengus James
Afarin Eghbal
Agim Sopi
Agostino Ferrente
Ahmad Abdalla
Ahmed Ahmed
Ahmed El Guindi
Ahmed Imamovic
Aida Zyablikova
Aisling Walsh
Aitor Merino
Aiyana Elliott
Akio Jissoji
Akira Nishimura
Akiva Schaffer
Al Campbell
Al Lougher
Alamgir Kabir
Alan Ayckbourn
Alan Berliner
Alan Boyd
Alan Carter
Alan Clarke
Alan Deakins
Alan Dossor
Alan Ereira
Alan Gibson
Alan Greenberg
Alan Horrox
Alan J. Pakula
Alan J.W. Bell
Alan Lowery
Alan Mak
Alan Parker
Alan R. Griswold II
Alan Rosenblith
Alan Smithee
Alan Stivelman
Alan Taylor
Alasdair Macmillan
Alastair Anderson
Albert 't Hooft
Albert Falzon
Albert Lamorisse
Albert Magnoli
Albert Maysles
Albert Mkrtchyan
Albert Pyun
Alberto Arce
Alberto Fasulo
Alberto Negrin
Alberto Simone
Alberto Vendemmiati
Alec Boehm
Alec McAulay
Alek Wasilewski
Aleksandar Boskovic
Aleksandar Djordjevic
Aleksandar Ilic
Aleksandar Manic
Aleksandar Popovski
Aleksandr Alov
Aleksandr Mitta
Aleksandr Morfov
Aleksandr Petrov
Aleksandr Proshkin
Aleksandr Tatarskiy
Aleksandr Zguridi
Aleksey German
Aleksey Korenev
Alex Boothby
Alex D. da Silva
Alex Fegan
Alex Galvin
Alex Gibney
Alex Halpern
Alex Harz
Alex Hinton
Alex Holdridge
Alex Karpovsky
Alex Lane
Alex Lovy
Alex Proyas
Alex Ranarivelo
Alex Vlack
Alex Winter
Alexa Hann
Alexander Berberich
Alexander Grasshoff
Alexander Kanellakos
Alexander Kviria
Alexander Nally
Alexander Nanau
Alexander Payne
Alexander Sebastien Lee
Alexander von Hofmann
Alexandra Bouillon
Alexandre Fuchs
Alexandre Moors
Alexandru Baciu
Alexandru Solomon
Alfonso Gomez-Rejon
Alfred Hitchcock
Alfredo Tanaka
Algimantas Puipa
Algirdas Araminas
Ali Abdel-Khalek
Ali Hatami
Ali Mosaffa
Ali Paterson
Ali Sade
Ali Samadi Ahadi
Ali Taner Baltaci
Alicia Lara
Alison Ellwood
Alison Mason
Alison Thompson
Alistair Donald
Alister Grierson
Alix Lambert
Alla Surikova
Allan Arkush
Allan Harmon
Allan King
Allan Kroeker
Allan Luebke
Allen Hughes
Allen Pavsar
Allison Kuznia
Alonso Mayo
Alvin Rakoff
Alysa Nahmias
Amanda Micheli
Amanda Pope
Amaya Merino
Amedeo D'Adamo
Ameer Sultan
Ami Horowitz
Amin Dora
Amir Manor
Amir Naderi
Amir Reichart
Amit Ashraf
Amitoj Mann
Amol Palekar
Amole Gupte
Amrit Nahata
Amrit Sagar
Amy Do
Amy Finkel
Amy Schatz
Amy Stechler
Amyn Kaderali
Ana Luiza Azevedo
Ana Nogueira
Anahita Ghazvinizadeh
Anand Gandhi
Anand Patwardhan
Anca Damian
Anda Puscas
Andrea Kreuzhage
Andrea Nix
Andrea Tonacci
Andreas Dresen
Andreas Johnsen
Andreas Koefoed
Andreas Morell
Andrei Blaier
Andrei Dascalescu
